date,year,quarter,month,day,day_of_week,day_name,week_of_year,season,is_weekend,is_holiday,holiday_name
2023-11-22,2023,4,11,22,2,Wednesday,47,autumn,0,0,
2023-11-23,2023,4,11,23,3,Thursday,47,autumn,0,0,
2023-11-24,2023,4,11,24,4,Friday,47,autumn,0,0,
2023-11-25,2023,4,11,25,5,Saturday,47,autumn,1,0,
2023-11-26,2023,4,11,26,6,Sunday,47,autumn,1,0,
2023-11-27,2023,4,11,27,0,Monday,48,autumn,0,0,
2023-11-28,2023,4,11,28,1,Tuesday,48,autumn,0,0,
2023-11-29,2023,4,11,29,2,Wednesday,48,autumn,0,0,
2023-11-30,2023,4,11,30,3,Thursday,48,autumn,0,0,
2023-12-01,2023,4,12,1,4,Friday,48,winter,0,0,
2023-12-02,2023,4,12,2,5,Saturday,48,winter,1,0,
2023-12-03,2023,4,12,3,6,Sunday,48,winter,1,0,
2023-12-04,2023,4,12,4,0,Monday,49,winter,0,0,
2023-12-05,2023,4,12,5,1,Tuesday,49,winter,0,0,
2023-12-06,2023,4,12,6,2,Wednesday,49,winter,0,0,
2023-12-07,2023,4,12,7,3,Thursday,49,winter,0,0,
2023-12-08,2023,4,12,8,4,Friday,49,winter,0,0,
2023-12-09,2023,4,12,9,5,Saturday,49,winter,1,0,
2023-12-10,2023,4,12,10,6,Sunday,49,winter,1,0,
2023-12-11,2023,4,12,11,0,Monday,50,winter,0,0,
2023-12-12,2023,4,12,12,1,Tuesday,50,winter,0,0,
2023-12-13,2023,4,12,13,2,Wednesday,50,winter,0,0,
2023-12-14,2023,4,12,14,3,Thursday,50,winter,0,0,
2023-12-15,2023,4,12,15,4,Friday,50,winter,0,0,
2023-12-16,2023,4,12,16,5,Saturday,50,winter,1,0,
2023-12-17,2023,4,12,17,6,Sunday,50,winter,1,0,
2023-12-18,2023,4,12,18,0,Monday,51,winter,0,0,
2023-12-19,2023,4,12,19,1,Tuesday,51,winter,0,0,
2023-12-20,2023,4,12,20,2,Wednesday,51,winter,0,0,
2023-12-21,2023,4,12,21,3,Thursday,51,winter,0,0,
2023-12-22,2023,4,12,22,4,Friday,51,winter,0,0,
2023-12-23,2023,4,12,23,5,Saturday,51,winter,1,0,
2023-12-24,2023,4,12,24,6,Sunday,51,winter,1,0,
2023-12-25,2023,4,12,25,0,Monday,52,winter,0,0,
2023-12-26,2023,4,12,26,1,Tuesday,52,winter,0,0,
2023-12-27,2023,4,12,27,2,Wednesday,52,winter,0,0,
2023-12-28,2023,4,12,28,3,Thursday,52,winter,0,0,
2023-12-29,2023,4,12,29,4,Friday,52,winter,0,0,
2023-12-30,2023,4,12,30,5,Saturday,52,winter,1,0,
2023-12-31,2023,4,12,31,6,Sunday,52,winter,1,0,
